,YW_AR_75,,,YW_AR_125,,,YW_AR_175,,
,MAE,MSE,BIAS,MAE,MSE,BIAS,MAE,MSE,BIAS
fcast_avg,2.48,2.48,6.27,2.40,2.40,6.73,3.48,3.48,7.60
fcast_50,2.94,2.94,4.85,3.00,3.00,4.98,2.35,2.35,5.88
yar,5.73,5.73,3.60,5.92,5.92,3.56,6.00,6.00,3.44
yarima,9.44,9.44,1.00,9.77,9.77,1.00,9.69,9.69,1.00
yhw,5.00,5.00,5.90,5.50,5.50,5.87,5.46,5.46,5.73
ymlp,5.40,5.40,4.88,5.83,5.83,4.29,6.21,6.21,4.08
ysvm,5.46,5.46,6.10,5.02,5.02,6.08,5.04,5.04,5.77
ylstm,5.62,5.62,5.02,5.15,5.15,4.96,5.62,5.62,4.83
yrf,6.06,6.06,8.25,5.71,5.71,8.27,5.10,5.10,7.87
yxgb,6.87,6.87,9.13,6.69,6.69,9.27,6.06,6.06,8.81
